app_name,duration,date,time
logger.py - Project - Visual Studio Code,3 seconds,2025-06-07,11:37:35
Desktop_Tracker Explanations - Google Chrome,2 seconds,2025-06-07,11:37:35
Task Switching,4 seconds,2025-06-07,11:37:35
(1) Pain.𝕏 (@GBarca_) / X - Google Chrome,6 seconds,2025-06-07,11:37:35
History - Google Chrome,2 seconds,2025-06-07,11:37:35
"(1) Actu Foot on X: ""🚨 𝗠𝗔𝗥𝗖-𝗔𝗡𝗗𝗥𝗘́ 𝗧𝗘𝗥 𝗦𝗧𝗘𝗚𝗘𝗡 🇩🇪 𝗡𝗘 𝗝𝗢𝗨𝗘𝗥𝗔 𝗣𝗟𝗨𝗦 𝗟𝗔 𝗠𝗢𝗜𝗡𝗗𝗥𝗘 𝗠𝗜𝗡𝗨𝗧𝗘 𝗔𝗨 𝗙𝗖 𝗕𝗔𝗥𝗖𝗘𝗟𝗢𝗡𝗘, 𝗦𝗔𝗨𝗙 𝗘𝗡 𝗖𝗔𝗦 𝗗𝗘 𝗕𝗟𝗘𝗦𝗦𝗨𝗥𝗘 ! ❌😱 Les Blaugrana ne font plus confiance au gardien allemand depuis son retour de blessure. 😬 https://t.co/mdUutbg2ea"" / X - Google Chrome",4 seconds,2025-06-07,11:37:35
logger.py - Project - Visual Studio Code,17 seconds,2025-06-07,11:56:58
New Tab - Google Chrome,2 seconds,2025-06-07,11:56:58
(1) Pain.𝕏 (@GBarca_) / X - Google Chrome,4 seconds,2025-06-07,11:56:58
"(1) Actu Foot on X: ""🚨 𝗠𝗔𝗥𝗖-𝗔𝗡𝗗𝗥𝗘́ 𝗧𝗘𝗥 𝗦𝗧𝗘𝗚𝗘𝗡 🇩🇪 𝗡𝗘 𝗝𝗢𝗨𝗘𝗥𝗔 𝗣𝗟𝗨𝗦 𝗟𝗔 𝗠𝗢𝗜𝗡𝗗𝗥𝗘 𝗠𝗜𝗡𝗨𝗧𝗘 𝗔𝗨 𝗙𝗖 𝗕𝗔𝗥𝗖𝗘𝗟𝗢𝗡𝗘, 𝗦𝗔𝗨𝗙 𝗘𝗡 𝗖𝗔𝗦 𝗗𝗘 𝗕𝗟𝗘𝗦𝗦𝗨𝗥𝗘 ! ❌😱 Les Blaugrana ne font plus confiance au gardien allemand depuis son retour de blessure. 😬 https://t.co/mdUutbg2ea"" / X - Google Chrome",4 seconds,2025-06-07,11:56:58
(1) Home / X - Google Chrome,1 minute and 54 seconds,2025-06-07,11:56:58
Task Switching,4 seconds,2025-06-07,11:56:58
YouTube - Google Chrome,4 seconds,2025-06-07,11:56:58
(31) YouTube - Google Chrome,4 seconds,2025-06-07,11:56:58
(31) Pedri - Full Season Show - 2025ᴴᴰ - YouTube - Google Chrome,1 minute and 34 seconds,2025-06-07,11:56:58
WhatsApp,2 seconds,2025-06-07,11:56:58
